Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
BubbleSort,Sorted,1000,0.899708,0.780192,1.16886,0.954113,0.734579,1.03429,0.71359,1.06396,0.742023,0.975348,0.830135,Yes
BubbleSort,Sorted,10000,77.3154,74.5172,79.7655,70.9227,81.3072,80.4554,76.5332,81.7144,83.8971,72.3497,71.6915,Yes
BubbleSort,Sorted,100000,7389.03,6139.65,7892.88,7919.25,7770.55,6871.94,7900.46,7588.14,7565.55,6342.13,7899.72,Yes
BubbleSort,Random,1000,2.27721,1.94087,2.25059,2.80109,2.07777,2.5701,2.11885,2.2478,2.32131,2.25621,2.1875,Yes
BubbleSort,Random,10000,231.175,232.477,219.496,230.316,230.971,249.281,221.851,232.064,224.155,231.876,239.266,Yes
BubbleSort,Random,100000,22716.4,22669.8,23660.7,21864.5,22368.2,23292.8,21944.2,22466.8,21853.2,23659.7,23384.6,Yes
BubbleSort,Reverse,1000,2.72021,2.22486,2.17574,2.31088,2.18114,3.05221,3.74939,2.67353,3.05154,2.63949,3.14335,Yes
BubbleSort,Reverse,10000,246.408,235.471,228.147,242.984,269.134,261.317,248.48,237.365,233.941,251.029,256.208,Yes
BubbleSort,Reverse,100000,22115.8,22446.9,21903,23526.1,21841.6,22127.6,21193,22706.7,20992.5,21355,23066,Yes
BubbleSort,Partial,1000,1.87097,1.90781,1.81125,1.8379,1.92144,1.86524,1.88985,1.89164,1.82791,1.87381,1.8828,Yes
BubbleSort,Partial,10000,153.986,183.13,151.724,165.856,155.657,146.11,150.026,150.284,141.068,150.012,145.996,Yes
BubbleSort,Partial,100000,14765.3,14031,16326.2,13976.6,15423.6,14095.9,15450.8,13938.8,15197.8,13645.9,15566.5,Yes
